id,prompt,text,label,model,domain
24596,"Now that you’ve done your homework, it’s time to start finding the right products to match your needs and preferences.","Once you have a better understanding of what type of bar soap is best for you, it’s time to shop. Fortunately, you don’t need to search far or spend hours at the store when shopping online. The good news is that there are tons of great options available on Amazon. From luxury soaps by Marella to organic soaps from Natures Garden, there’s something for everyone here. Keep reading to learn more about these popular brands and how they can help you meet your skin care needs.",generated,C,wiki
24653,"If you are considering abortion, you do need to make a decision as quickly as possible.","There is not much time to decide what your options are because the process of an abortion can be done very quickly and with minimal discomfort. If you have any questions about an abortion or would like to discuss your situation further, please contact us today at (949) 9822233. We offer convenient hours and locations for our patients in order to provide our services onsite if possible.",generated,C,wiki
25473,"By asking them what they like, you’ll give them the opportunity to talk and volunteer information.","If you ask a question that is easily answered by their favorite color or flower, they’ll feel more comfortable volunteering it. If your children are shy, don’t be afraid to start out small. Ask them for a little favor before asking them to do something big. For example, ask your child if he would like to hold your hand during church on Sunday morning. The next time you see him, ask about his experience with you.",generated,C,wiki
13448,"@inspiritu I'm fine, thanks! 90%","@inspiritu Im fine, thanks! 90% of the time I can put my feet up and just chill with a good book. But in these",generated,C,tweets
2268,2. The following is added to Annex I to Decision 93/24/EEC:.,"(2) For the purpose of this Regulation, a vehicle shall be deemed to comply with the requirements of paragraph 3.1.3., if it has an airbag module fitted to each seat and if all of the following: the airbag modules are not intended for replacement. they have been installed in accordance with the instructions provided by the manufacturer. they operate correctly. For the purpose of this Regulation, the term cockpit means the area immediately behind the driver",generated,C,legal
25054,"Assuming that pasture fencing is already present, go around the perimeter of the pasture that you are to graze your animals in and check the fence for any broken wires, stretched wires, staples pulled out, broken posts, or trees on the fence line.","If any of these conditions exist, call a professional electrician to repair them. It’s important to keep in mind that if your electrical system has been tampered with by someone else, it could pose a serious risk to your safety and the safety of your family. The last thing you want to do is have an electrical problem cause a fire in your home and put your family at risk. If you’re having trouble finding an electrician in your area, check out Electricity Finder. It’s free,",generated,C,wiki
13169,@Adriennevh Have a look at,@Adriennevh Have a look at this article from the New York Times on how the pandemic is affecting young Black and Brown men:,generated,C,tweets
2298,(3) Whereas that this increase in capacity should be achieved by a reallocation of capacity from other segments and should not result in an increase in the global objectives fixed by Decision 98/131/EC. (4) Whereas the Management Committee for Fisheries and Aquaculture failed to deliver an opinion within the time allowed by its chairman.,"The Council therefore cannot take the view, as it did in paragraph 1 above, that the Commission has taken steps necessary to implement the Councils instructions. The present letter is addressed to you on behalf of the member States of the European Union that are represented at the International Council for the Exploration of the Sea (ICES), namely Belgium, Denmark, France, Germany, Italy, Luxembourg, Netherlands, Portugal, Spain and Sweden. We have had serious doubts about the Commissions proposal since the very beginning, particularly",generated,C,legal
13229,1hr until im suppose to,1hr until im suppose to go into labour so i was hoping she wouldnt be going in until later on today but its been,generated,C,tweets
25047,"Depending on your interests and your tradition, you may find it necessary to chakra cleanse thoroughly prior to channeling, as a way of balancing and cleansing your energy pathways.","For those who have had extensive trauma or abuse in their lives, this is very important. If you are having difficulties opening yourself up to receive information from your higher self, it can be helpful to chakra cleanse before you begin. The Kundalini is located within the spine. It starts at the bottom of the spine, runs along the spine through the sacrum, up the back of the pelvis, up through the chest, out to the throat and down into the belly.",generated,C,wiki
13106,@jcroft But... How do I,"@jcroft But How do I get a bit of humor out of it? Yeah, its fine. Its just that the second time",generated,C,tweets
2267,"Article 8. With effect from 1 July 1989, the allowances for shiftwork laid down in Article 1 of Council Regulation (ECSC, EEC, Euratom) No 300/76 (1) shall be Bfrs 9 187, Bfrs 13 867, Bfrs 15 160 and Bfrs 20 670.","The sum of these amounts is referred to below as the shiftwork allowance. 2. For calculating the sums mentioned in paragraph 1 above, the allowances payable by an employer under Article 7 of Council Regulation (EEC, Euratom) No 1604/68 (2), as amended by Council Regulation (EEC, Euratom) No 1160/71 (3), shall not be taken into account. For a worker employed on a shift system who has been granted an annual",generated,C,legal
13087,@LusySunsetGirl So that means your,"@LusySunsetGirl So that means your gonna be a lady for the rest of your life? Well, I am willing to try anything once",generated,C,tweets
12667,Kinda sad today...Brother-in-law (Rob) lost,Kinda sad todayBrotherinlaw (Rob) lost his battle with the COVID virus. He had a very long and happy life! I am so sorry,generated,C,tweets
25123,Start your warm up with joint rotations in order to lubricate your joints and prepare them for the work out.,"Start with a simple set of shoulder rolls followed by elbow flexions, wrist stretches and hip stretches. Then move on to your chest muscles as you can strengthen this area by doing several sets of pushups or chinups. Before moving onto your legs, stretch your hamstrings to get into the right position for squats. Then perform three sets of 1015 knee extensions. Next is your glutes as these are the most important muscle group when it comes to jumping. Perform three sets of",generated,C,wiki
25386,It's common in the field for employers to want to see your work on a demo reel.,"This is especially true if you are applying for a job that requires you to perform as a musician. The best way to prepare for this type of audition is by practicing with someone who has experience playing your instrument. You can also practice at home by recording yourself and listening back to it, so you can hear your mistakes and improve them over time. As far as auditions go, it is important to be prepared! Know what you want to play, how much practice you have, and how",generated,C,wiki
25435,"If you were given a gift card to an e-commerce site or retail location that you can't use, you can sell it on the Internet or trade it in.","You will need to do some research to find out what is currently being offered for your gift card before you decide if this is something you want to try. Some companies like Starbucks and Macys offer special gift cards that are only available at those locations. If youre looking for a gift card that wont expire, make sure you know which stores accept them. Many people are too busy to shop online or go into physical stores to purchase gift cards. In these cases, they may be willing to sell their unused",generated,C,wiki
25219,Stretch the cloth over the drain so it is blocked completely.,"If you don’t have a cloth, use a piece of thick towel or large trash bag. If you’re worried about the water coming back up, place the tub underwater with a bucket underneath and cover the drain with a sheet of plastic wrap. Let the tub sit for at least one hour. Then, turn off the water and open the tap slowly. As soon as there’s no more water coming out, you’re done!. One of the most common problems in bathrooms that people face is slow d",generated,C,wiki
